1,https://www.reuters.com/article/brief-associated-bank-announces-financia/brief-associated-bank-announces-financial-relief-measures-to-support-customers-affected-by-covid-19-idUSFWN2BE0E2,2020-03-21T22:28:38Z,BRIEF-Associated Bank announces financial relief measures to support customers affected by COVID-19,March 21 (Reuters) - Associated Banc-Corp:,* ASSOCIATED BANC-CORP- ASSOCIATED BANK’S COVID-19 RELIEF PROGRAM INCLUDES SUSPENDING FEES ON A RANGE OF LOAN AND DEPOSIT PRODUCTS UP TO 90 DAYS,* ASSOCIATED BANC-CORP- ASSOCIATED BANK’S COVID-19 RELIEF PROGRAM HAS CREDIT CARD PAYMENT RELIEF & SUSPENSION OF FORECLOSURE & REPOSSESSION PROGRAMS Source text for Eikon: Further company coverage:
2,https://www.reuters.com/article/brief-associated-banc-says-to-temporaril/brief-associated-banc-says-to-temporarily-suspend-lobby-access-at-most-of-its-branch-locations-idUSFWN2B61B3,2020-03-15T20:48:02Z,BRIEF-Associated Banc Says To Temporarily Suspend Lobby Access At Most Of Its Branch Locations,March 15 (Reuters) - Associated Banc-Corp:,* PLANS TO TEMPORARILY SUSPEND LOBBY ACCESS AT MOST OF ITS BRANCH LOCATIONS,"* SUSPENSION OF LOBBY ACCESS AT MOST BRANCES TO GO INTO EFFECT TUESDAY, MARCH 17","* COMPANY PLANS TO RESUME FULL BRANCH ACCESS ON MONDAY, APRIL 13, 2020 Source text for Eikon: Further company coverage:"
3,https://www.reuters.com/article/brief-associated-banc-corp-philip-flynn/brief-associated-banc-corp-philip-flynn-president-ceo-entered-into-trading-plan-to-sell-80000-shares-of-common-stock-idUSFWN1S919J,2018-05-02T20:50:50Z,"BRIEF-Associated Banc-Corp - Philip Flynn, President, CEO Entered Into Trading Plan To Sell 80,000 Shares Of Common Stock",May 2 (Reuters) - Associated Banc-Corp:,"* ASSOCIATED BANC-CORP - PHILIP B. FLYNN, PRESIDENT, CEO OF CO ENTERED INTO RULE 10B5-1 TRADING PLAN TO SELL 80,000 SHARES OF CO'S COMMON STOCK Source text: (bit.ly/2JMYY5X) Further company coverage:"
4,https://www.reuters.com/article/brief-associated-banc-corp-to-acquire-an/brief-associated-banc-corp-to-acquire-anderson-insurance-investment-agency-idUSASC09YPU,2018-05-01T21:16:22Z,BRIEF-Associated Banc-Corp To Acquire Anderson Insurance & Investment Agency,May 1 (Reuters) - Associated Banc-Corp:,"* ASSOCIATED BANC-CORP TO ACQUIRE ANDERSON INSURANCE & INVESTMENT AGENCY, INC.",* ASSOCIATED BANC-CORP - TERMS OF TRANSACTION WERE NOT DISCLOSED.,"* ASSOCIATED BANC-CORP - AS PART OF PROPOSED TRANSACTION, KEY ANDERSON EXECUTIVES WILL CONTINUE LEADERSHIP ROLES FOR SOME TIME Source text for Eikon: Further company coverage:"
5,https://www.reuters.com/article/brief-associated-banc-corp-announces-div/brief-associated-banc-corp-announces-dividends-share-repurchase-program-idUSASC09X5C,2018-04-24T20:40:52Z,"BRIEF-Associated Banc-Corp Announces Dividends, Share Repurchase Program",April 24 (Reuters) - Associated Banc-Corp:,"* ASSOCIATED ANNOUNCES ANNUAL MEETING RESULTS, DIVIDENDS AND SHARE REPURCHASE PROGRAM",* BOARD AUTHORIZED REPURCHASE OF UP TO $100 MILLION OF ASSOCIATED’S COMMON STOCK,* REPURCHASE AUTHORIZATION IS IN ADDITION TO AUTHORITY REMAINING UNDER PREVIOUS PROGRAM Source text for Eikon: Further company coverage:
6,https://www.reuters.com/article/brief-associated-banc-corp-reports-q1-ea/brief-associated-banc-corp-reports-q1-earnings-per-share-0-40-excluding-items-idUSASC09WLF,2018-04-19T20:24:00Z,BRIEF-Associated Banc-Corp Reports Q1 Earnings Per Share $0.40 Excluding Items,April 19 (Reuters) - Associated Banc-Corp:,"* REPORTS FIRST QUARTER EARNINGS OF $0.40 PER COMMON SHARE, OR $0.50 PER COMMON SHARE EXCLUDING $21 MILLION IN ACQUISITION RELATED COSTS(1)",* Q1 EARNINGS PER SHARE VIEW $0.41 -- THOMSON REUTERS I/B/E/S,* QTRLY NET INTEREST INCOME OF $210 MILLION INCREASED $30 MILLION Source text for Eikon: Further company coverage:
